id	filename	md5	size	state
4491f313-0b2f-4a38-8a90-14145857b964	TCGA-A2-A04W-01A-03-BSC.57907e35-3c5d-4b06-8732-4d5ff94b2985.svs	93e4031ce3b263d9e19e09853e0ef182	200124878	released
2ad7ab3f-dfe5-48ee-8e9e-8506b36a135c	TCGA-A2-A04X-01A-01-BS1.dfc80b9d-cce5-4f91-9e2e-a5dbff049463.svs	d1948f563fff0a1e409a520ac5b8e7fe	134744334	released
0720908f-15c2-4fcc-b04b-8543773d5a83	TCGA-A2-A04Y-01A-02-BS2.0fd3867e-c47f-471c-b946-25b244d8c0e8.svs	e2caf1ae37d54c5337ce6848c9721979	318554652	released
3d7a2e93-459e-478e-b39c-7624299e69b1	TCGA-A2-A0CK-01A-01-BSA.B3E07E98-6D91-4689-BE68-83043CA49FC3.svs	8c336b6064cc1906adf465934d4f552c	242819961	released
c48fe206-e111-4511-8687-c3cc26b3f9ff	TCGA-A2-A0CL-01A-01-BS1.216b597c-9d7c-448f-984e-5659006a9c40.svs	4690824779fcffbcdee5a21a7f3f92e3	386146821	released
92d230e0-7f1b-4eda-bc54-ea045d23bc56	TCGA-A2-A0CM-01A-03-BSC.c240a44d-0583-496e-bdef-5cdb5e0ee167.svs	93aaf6d5e8a7783ac43b6254b55b13cd	207731433	released
68ff63fb-8623-430f-8335-20035833319b	TCGA-A2-A0CO-01A-01-BSA.B53F8E3C-C025-4688-890F-DBF91A034AF6.svs	4147a9ce333d2cba6d84e1191f26547c	221536375	released
a23a8a5e-bca6-40da-9575-590cbec1c7e0	TCGA-A2-A0CP-01A-01-BSA.2e7307b1-f88e-4570-8a33-e687088308f2.svs	ec173823776db7744a11105eb24b90e2	165597767	released
2fd151e3-c4b7-42bf-8d70-7f78aa71bb43	TCGA-A2-A0CQ-01A-02-BSB.3aff800d-8a96-4675-9be3-a77666fbf078.svs	d3c192d688ab61053546a895a2b17aa8	183957517	released
b31ff2da-5e41-4c60-ba50-10decfdbe349	TCGA-A2-A0CR-01A-01-BSA.EEDC8A56-25C0-4348-B5CD-E91C2CC3411B.svs	739271370412b8db547f44ca8d80531d	279298193	released
69858c97-32ac-412c-afc5-c37ed68b29c2	TCGA-A2-A0CS-01A-01-BSA.a932a854-ba6f-4a29-9fdc-4f5ce63e440c.svs	6cc47670a664ba39380b418dd39bb6fd	397688199	released
5c454c13-7787-4807-96f5-866a20f9c7b3	TCGA-A2-A0CT-01A-02-BSB.0aa72ee2-8d99-4e03-8f40-7a55d0acb7ad.svs	0167801569d7de44e67ef51d7c8a9708	109852823	released
8a30af3a-378b-4b59-822a-9cb515e71dac	TCGA-A2-A0CU-01A-01-BS1.37059615-5809-4066-992a-ec50f8c2041c.svs	14565faf200260710711b27c38513a68	326448953	released
dfec56c7-fc58-49e2-a10e-4bcd437a84c2	TCGA-A2-A0CV-01A-03-BSC.14215df5-081f-4f57-a912-da96e1f7aa24.svs	9bbbe81944e1df43473f41f27d66f398	261314443	released
ef4436b6-9aec-4c81-98b3-5beb6536217a	TCGA-A2-A0CW-01A-02-BSB.e5c24b99-3704-46cf-b097-a9834d81c169.svs	38cbb75df5690f8fdb69cae23b76b413	347614037	released
c88e50ae-968b-4105-b7d9-e150c4c2c061	TCGA-A2-A0CX-01A-02-BSB.04ad0cae-1b9c-472f-8d08-ea6995e00bdd.svs	56aabdb0a44070f1bced8ae6961752ea	572517151	released
8b91311f-0c26-42c0-b084-50de6e0059f6	TCGA-A2-A0CY-01A-01-BS1.9b133694-9867-4641-af14-71e493280442.svs	cc9932898b3be190ecbec8e67a3645c1	403679017	released
bd716eb1-1356-4f09-9659-f065b0b0c1ca	TCGA-A2-A0CZ-01A-01-BS1.792ef70c-5f29-44df-8d18-0b54697b2cca.svs	1925a816bca67271b07f518526896676	534098889	released
4da32130-0cd1-469e-be6d-d01aa81be72e	TCGA-A2-A0D0-01A-01-BSA.de3699b8-cd5b-4bac-af17-b63d447c55e7.svs	ea41b81ec6999db28253760d4297ffcd	373612601	released
1dc0b208-8b02-4b78-ba1a-6051adc9d4e2	TCGA-A2-A0D1-01A-01-MSA.3bc9e5b7-75ab-4eea-8c50-7f67dd11b2c7.svs	4814a091fd4aaacfaadb21e96a856d59	183614313	released
6a313884-95be-42a1-a30a-e9d402607ebd	TCGA-A2-A0D2-01A-02-BSB.8b0210e1-3e64-4e14-8a7f-785bc507f7d8.svs	0f0a7c156323ad030bbfd6381326f7e7	262505347	released
f8b2651d-1aee-4540-b875-19e687ff947b	TCGA-A2-A0D3-01A-01-BSA.a92d21bb-df83-4a6d-87d4-4558f0b8172f.svs	2fde9c6c7953e1b1d292c3f6818b94fc	403553897	released
4e0a1e04-8f8b-4360-9818-165fcbcacf7d	TCGA-A2-A0D4-01A-01-BSA.0665ed7a-c8e2-4b8a-bf73-8c06dab48c47.svs	d1ab31637d0c62c35f28458d0432c913	224828093	released
4376ed65-6ff5-476c-8d54-4e426f79d21f	TCGA-A2-A0EM-01A-01-BSA.aef9970e-ae41-478b-bdd1-510eec165c06.svs	ec15d75dafe636fcb54b0d85a92a263e	203387759	released
13b13904-9ed2-434c-9fab-cf36df114583	TCGA-A2-A0EN-01A-01-BSA.7918d788-f2ab-44cd-8c1d-14659668e34f.svs	3c893485217d606e51d9f5203bccf625	178331729	released
b656e71d-db06-4ddc-bef8-55e013334e13	TCGA-A2-A0EO-01A-01-MSA.a8ba9ddd-967b-428f-aef6-81207cb53e35.svs	fd55975d87191c38ebe97ad654a8937f	339912815	released
5cadc386-59c8-45e5-bc3a-b90f65dbdfdc	TCGA-A2-A0EP-01A-05-TSE.9746AB87-60C5-41FD-BB30-055B8085B344.svs	f8abd9400fb6187db5cbc7a526db9025	127554464	released
a726c47a-d079-4a8b-bc97-ce2f554544a6	TCGA-A2-A0EQ-01A-01-BSA.fa7a323e-2939-4941-a56f-3b7352b16050.svs	910aec40fccee1c82754a10763aa20de	433425625	released
aa688476-048c-4d82-8b66-b534e9ffd2f2	TCGA-A2-A0ER-01A-02-MSB.cf3ea42a-aeda-47d6-ab60-a6d0f4b83170.svs	0cc8e7a9f01d0fa999d2ac2b20c50fb5	437430997	released
8301908a-0d36-4454-8781-af82ebe2dddf	TCGA-A2-A0ES-01A-01-BSA.b0f78d87-bc17-441f-bb40-6028b6e64099.svs	d86bad832e246dacdf1a50d1d0ca61b8	297337547	released
bebedf40-ec66-4d65-98cb-f5465172134f	TCGA-A2-A0ET-01A-03-BSC.a5ea8948-821d-471d-ba1c-3c36807ff5df.svs	48593e067f6659166065adc31483f60b	184237589	released
c23893ca-70e4-4f8b-992c-84ae3e9a15e4	TCGA-A2-A0EU-01A-02-MSB.44688c8e-aaff-4acd-b70e-d4c570a04317.svs	9f148f1f22826b33fb323daaf6789ce4	486846413	released
2e3868f3-96d8-453b-b8db-9de8de494960	TCGA-A2-A0EV-01A-01-BSA.895f4272-acc0-48e5-8c91-58209e6aa849.svs	8596c5046308d1cd56f36745b712805b	297708621	released
5fbbfd9d-b870-4fd9-a596-8aa5a5ae9e2e	TCGA-A2-A0EW-01A-02-BSB.09a14d8c-2c79-43e9-b08c-73481d3ec01c.svs	ed259f5644f11e92371c78e8c6fec2d3	656194161	released
cb58d436-d4d7-4a05-a12f-5536b90c9efb	TCGA-A2-A0EX-01A-02-MSB.8a884510-c00e-442d-bf13-1eb36f4ee10b.svs	604146544bb16a3e4979fe5cf31186aa	271950909	released
4f2e5418-3832-48fc-a321-ca94d7d3aa9e	TCGA-A2-A0EY-01A-01-BSA.dbf1ad9c-0529-4b08-90fc-5b1d7da797aa.svs	59b00999188c34658e47711efdb39eeb	288663715	released
c9c58d1a-1d5c-4d19-a11c-b691c3b89154	TCGA-A2-A0ST-01A-01-BSA.187f1dfd-47df-4e31-883c-62534d8e0dd5.svs	d028e8192fa56320685d197b97fdee5b	238898881	released
9ee09784-78bf-4547-9ed3-c5bcb4fce225	TCGA-A2-A0SU-01A-01-BSA.660c932a-61fb-4054-8499-2a39387bf4ab.svs	e677a592386db2106a4a9b50e0cd6d70	488999003	released
740eb588-abd8-47b5-b9bb-6bf28da99b70	TCGA-A2-A0SV-01A-01-BSA.94a1dce7-dd72-40a0-8e19-a688d46281f5.svs	70078cd3f6030aa8ee92110d9b05bcbd	105770809	released
d9c17842-2253-4b59-a0bd-57e9820048d5	TCGA-A2-A0SW-01A-01-BSA.7a710f66-502f-43fa-94eb-742243cf2aff.svs	65bf8a6bd1e142c6728f509dbc0b8187	200214655	released
343ecd41-8a75-4f06-abbe-f1cf262e1e80	TCGA-A2-A0SX-01A-01-BSA.7c3c820b-1ddc-4a92-a59d-7ac2df9a7313.svs	2a6047541efa2a552ee78fc704bbeac5	306058819	released
79464abc-4051-4c06-b28b-103295d972a7	TCGA-A2-A0SY-01A-03-BSC.111f2ea3-8315-412c-807d-5582f160cb42.svs	47c0827c107556e2becac0148b42246e	326215419	released
6ea70d27-bf7f-4e97-96a9-9bf1c4f229c1	TCGA-A2-A0T0-01A-02-BSB.dc5e2a55-4bc6-4655-b86e-5aeb369f05c9.svs	ab44f3e63290046cb2e1de51ef194ab8	641078421	released
f2f63959-ff1b-4bec-88f8-fbe591c1176c	TCGA-A2-A0T1-01A-02-BSB.3bba2447-a52a-4ed3-88b5-c91124ecbcac.svs	e283c124fbd483b72588d2980b81212c	227390391	released
40dcb3e6-1a31-44e9-8f8c-7f3a8639c7e3	TCGA-A2-A0T2-01A-01-BSA.3613219b-687b-419f-ac8f-33b668b72446.svs	7f0b1476ea80bf0f119e9d7da8c95932	185983223	released
23bcc260-ef87-42b0-a579-e14d68471094	TCGA-A2-A0T3-01A-02-BSB.19f759a7-4b0f-43f3-b1ac-bce827f93fc6.svs	da5a075978eda3b539a9c2a517948f7b	329251215	released
8458a15f-edc7-4afa-b26a-9b5945456137	TCGA-A2-A0T4-01A-03-BSC.c48434f7-8ef4-40e6-b115-87318032046d.svs	45023039fc9340d053b3260e9b07dd87	252398675	released
e1f24e9c-f2e3-4992-b16d-21b9e76fe4cd	TCGA-A2-A0T5-01A-02-BSB.2bc13b46-4db4-4404-aaa0-8625e1ae7440.svs	ff980ab1cbb31e68e70399b921b1a332	288771765	released
2c7983c8-296c-43f7-a629-36a175b1a061	TCGA-A2-A0T6-01A-01-BSA.b82fe5ae-dafc-45d6-9410-b6ef20725739.svs	2ab5dea1fc5d3d346bc7c6181ffd11a2	179672243	released
9eb0a343-4794-4114-a42c-f0992f9c038a	TCGA-A2-A0T7-01A-02-BSB.8f69b301-dcf9-4a7f-a504-187f9a11252a.svs	9baefc4db431efb8e213a044083967cf	392667611	released
6e43d6bd-a735-4183-b05c-c913ff37c6a5	TCGA-A2-A0YC-01A-01-MSA.05ee8628-8199-466f-9e26-012186642f25.svs	2aafaafdc969c031a05beb553a129d37	188343505	released
81d3d5a5-8350-4ba0-ae35-275f6b20db40	TCGA-A2-A0YD-01A-01-BSA.dbbc3956-3306-4e98-904d-15ed9c0ff148.svs	9d963941890b6d34a2d4df06ef69ba0b	268607337	released
5eeec373-f40d-4439-9afd-82baceed2c3c	TCGA-A2-A0YE-01A-01-BS1.7203b6fc-3a45-41e1-9104-14255fe4eb6e.svs	812817ba89933abbf96da328ea07dcce	311822943	released
dc07cb24-8579-4903-9239-60af9352d7fd	TCGA-A2-A0YF-01A-02-MSB.2e4e34a9-4701-4b96-b3d6-22d46c792fa9.svs	e845b4af05f4f65ebcad984600e71280	316154573	released
523ec379-91a2-4c7b-987c-fa4f82600c0e	TCGA-A2-A0YG-01A-02-BSB.23b5c2d3-91a2-4091-bd43-04210baa9941.svs	134433e6501493d4c0daff0bb1c8aae9	309214829	released
a086e994-2f4e-4d9c-85aa-80316f34a8f9	TCGA-A2-A0YH-01A-01-BSA.5c229b7d-6921-4c3c-a7a1-0c02fe62e5f5.svs	6d39970936c33f8245f360685053989c	340420161	released
a27b2c2e-b1ce-42eb-a596-d7939ce6907f	TCGA-A2-A0YI-01A-03-BSC.29006cd1-80d6-4b68-a760-ba91a34b9942.svs	c70d61b29327fd1662ed8546c979274f	210515939	released
06d15f94-6c78-4372-8d03-493f1b09fd44	TCGA-A2-A0YJ-01A-01-BSA.d8a11cff-f5fd-4d70-8655-c8db88f7147e.svs	e081c80880777bb35daac92d3320c82f	340059239	released
ec527647-5c84-4cba-bf66-7cc081d5f9c4	TCGA-A2-A0YK-01A-02-BSB.f0b7203e-5c9c-4039-8e1d-cfc683d53a79.svs	7e515ba79884adf6a5f490333d71cff3	137718241	released
74946037-f041-4b75-b076-acb53ba6625d	TCGA-A2-A0YL-01A-02-BSB.b9a27669-4484-41f2-ae55-85eeb3792e60.svs	27c5c7c7cf0f85d645dcaba1a850f477	221833253	released
684fa229-e326-4d66-8c77-26cb388f1c89	TCGA-A2-A0YM-01A-01-BSA.26fc4cb8-24ef-494a-9334-db3a9099199f.svs	91fb690305eea15c3ae1c52d738434d8	125399035	released
0a9ddad2-bf8f-4dc5-912b-aff08e1a5781	TCGA-A2-A0YT-01A-01-BSA.661675d9-4e62-4472-9102-166b9e1ffe92.svs	1774df8ec2f7dd05b7671a6ca4cd75a4	491835953	released
c935479d-0baf-4f0d-bebb-6f765d36238e	TCGA-A2-A1FV-01A-01-TSA.1ef7e33c-4e9f-46fb-8600-e2028e666b58.svs	c55ea527a23ea50cc6d033c8b6e0bd69	236182545	released
75d4db4a-5b52-420e-8fe8-9bc93ab70f68	TCGA-A2-A1FW-01A-01-TSA.c333d30e-9e9e-4852-a901-f3bf6b52edc7.svs	1617afdf18a6d77b8c16a909a89f1a82	184752077	released
ee92f7a5-8cf2-4ec2-83e8-55b5ce7b69ef	TCGA-A2-A1FX-01A-01-TSA.9ddece99-9be4-4d06-b8a5-f10e064a20cd.svs	ddf99c368139c0768969fee57d73adb1	161038245	released
