id	filename	md5	size	state
19e7255b-be37-498f-93de-05abc5eb86c0	TCGA-A7-A13E-01A-01-BSA.6abb32ba-9836-4032-94cb-7113e0dce7aa.svs	2f2d597701084c66e4f49e35000fa73f	192874549	released
6e241e76-267e-422e-a40e-7abf9e45aa2e	TCGA-A7-A13G-01A-01-BS1.0f72aeb4-0052-486f-9305-449200e92028.svs	274e48a3b22f94d76ca761570ee874de	313725173	released
5615a6dd-17d0-4a99-a74d-850fb7f594e8	TCGA-A7-A13H-01A-01-BS1.FB43E6CF-E952-476B-9A90-A506F37829A9.svs	574c5abd8d073aca812048ee9d58e127	207228123	released
f7bc8622-c6f5-4020-a4bc-5778bd1a1cbb	TCGA-A7-A26I-01A-01-TSA.2fd782cc-a69a-4c7d-92a3-50f0c6351968.svs	8b8aa21c837b6e913753064c1bda494c	254798801	released
259a11ba-74cb-4b41-90a3-7fa714f2f8e2	TCGA-A7-A2KD-01A-03-TSC.CC1E46B0-7920-4F91-AE61-A9A78BF724DB.svs	1997d1d84456e400e4020e67368e7bca	180041567	released
2c257847-e4db-4332-931b-1e791080f9d8	TCGA-A7-A3IZ-01A-01-TSA.EFEAFBBB-4EED-4894-BAFD-77AAC5783062.svs	b11215ea7f71f71746ddcdba8de75b6b	146861441	released
9701146a-3092-4860-bb4a-72089d5df468	TCGA-A7-A3RF-01A-01-TS1.88AFA1D1-A9CF-4E90-929A-023D9656B203.svs	8815f605bd3fcc7c2fcf658f1b584cea	300755773	released
e4bd5f15-7306-4155-a7df-b61b045aac9e	TCGA-A7-A4SF-01A-01-TSA.A9D65EF2-4CD0-41BC-98D0-FF6495369BF3.svs	94a3be28115f76b37335aab7ba2ea0f5	115476187	released
27ea37fa-7a1b-4f43-99d5-8243a589ebd7	TCGA-A7-A56D-01A-01-TS1.AD278013-D26A-4CA2-9B22-308E79763904.svs	cdad5fe92632a54d00f9856edfe005bc	298570133	released
b41491d7-b3ba-4b3d-8740-44aa9384bb66	TCGA-A7-A5ZV-01A-01-TS1.7D506802-D2B5-4BFB-AB73-B62C87558D9B.svs	169621090812ee851fe796ee9815c957	310042917	released
cfd47e0c-c3a9-4ca3-ad62-83c0b1385b0e	TCGA-A7-A5ZX-01A-01-TS1.34A6187F-702F-49C0-BF87-4C496FB5DD43.svs	ad4c85ad75ae8b8864605080308eadd8	241534543	released
208da3cd-d084-41be-a080-5a8bf1d79dc3	TCGA-A7-A6VV-01A-02-TS2.B2C40F30-C888-4D29-8972-90912466A8B7.svs	e97d6cc2f7045cb8d82f26e06f4493d4	128499211	released
9cdab6c3-b18e-458b-954d-47641e3c356b	TCGA-A7-A6VW-01A-02-TS2.4A09D2AC-A574-40F1-9247-2729EFD0EDAA.svs	f17ca3087028627a89c0cdb136c99070	235515055	released
b1108817-ee32-40d8-b905-bd3fcb3320d1	TCGA-A8-A06N-01A-01-BS1.12bf6cf9-767e-469a-ab07-accd6b3b134e.svs	fe4ccf974c0bbc16ccb13342554e076a	511379917	released
dc260d25-767e-42d0-ab6e-524837b30180	TCGA-A8-A06O-01A-01-BS1.7234aaa1-d5b0-41e1-a65a-8011581f6073.svs	1928708715bbcd8f48ba0bbaed380fec	186688819	released
4d742d88-d1de-437c-9494-12cdea3c9a95	TCGA-A8-A06P-01A-01-BS1.841bd06a-953c-4c04-af50-23d530579908.svs	d5d66ebf9132172448f2c52bec83cd87	574315079	released
0ec0bd4a-8a29-47f4-911a-9234dc95de91	TCGA-A8-A06Q-01A-01-BS1.3e519802-6b1b-46b6-8e86-0151159873bb.svs	be10bec493fdcdd249a93391bd853b15	197006925	released
b413ae9d-cb96-4824-8f26-a3654d52da82	TCGA-A8-A06R-01A-01-BS1.81f34f39-e1c2-4769-aaa3-5aa5df1c3543.svs	198f5b0b8bfe561425f256c8611588b3	499943465	released
3768eb71-5687-46aa-aa54-fb490e673464	TCGA-A8-A06T-01A-01-BS1.288263c3-b0ed-4b09-baba-f44f099ec7b3.svs	3a954e713d28bd6ab8ad24f94e55c661	304417757	released
d8346a8e-5d58-4ee4-8b30-15aec7977f10	TCGA-A8-A06U-01A-01-BS1.1182603b-20e7-4a0e-a686-055841cf5ca4.svs	c01a5777f7fa91e02fd60f494616a67f	188469785	released
91fce8fd-c23f-48b0-b1cc-730f8ef3c4d0	TCGA-A8-A06X-01A-02-BS2.eaf95778-4d99-4a85-bff2-57e2c66bebac.svs	c66256e86db6c40493c280c3b8023f6f	353165489	released
6cd7ddcb-7a8e-4d57-936e-95a7ba28fbf7	TCGA-A8-A06Y-01A-01-BS1.69eb0a92-553f-49ee-a172-7ce427e7b151.svs	795d2b3455757ab48b77b3435c477800	140970767	released
6768e089-d3ff-45a7-8189-4aa12b8a7ec7	TCGA-A8-A06Z-01A-01-BS1.d29f4573-c196-4e24-813d-131a00f55b78.svs	0536c478302ed6a5e4c4bf0912748080	244257245	released
4da40e8e-9a68-4d5c-90eb-75911bdf58a2	TCGA-A8-A075-01A-01-BS1.f15749fb-e5fd-4124-ad85-eec12751816b.svs	ee59de3ed9593fdfdb329b9708f9f3e8	279079541	released
2303a5c3-a773-4c67-959f-6a8d97a04644	TCGA-A8-A079-01A-02-BS2.af4b2721-1e8c-4b61-b03f-1a50c2366832.svs	b39a9dcc5d2f914dc14a7fd2bb757687	165535245	released
c398676d-f5d4-4865-9ad5-be991f82fa99	TCGA-A8-A07B-01A-01-BS1.b1f937c2-0868-4c6a-a85f-cc4853c0a639.svs	415235a517e18eea0f56f0347250ec73	238601651	released
17dc3b95-b7cb-437d-8bb0-055a385065e6	TCGA-A8-A07C-01A-01-BS1.eadc6878-4240-45b2-b1a1-b1ea9fabf910.svs	ca88759d8e14b4d201cc8cf9aa893bba	886780619	released
